accession
GCA_032469675.1
GCA_035783035.1
GCA_035785195.1
GCA_032469315.1
GCA_049807355.1
GCA_049807635.1
GCA_033657645.1
GCA_049807075.1
GCA_049806995.1
GCA_049807615.1
GCA_053847285.1
GCA_053847325.1
GCA_041359545.1
GCA_040754715.1
GCA_030263855.1
GCA_030369035.1
GCA_043105275.1
GCA_043106005.1
GCA_050188375.1
GCA_051847415.1
GCA_043101865.1
GCA_051352615.1
GCA_045900495.1
GCA_043081385.1
GCA_044930345.1
GCA_043084285.1
GCA_051355695.1
GCA_043084065.1
GCA_043084245.1
GCA_043086565.1
GCA_045898655.1
GCA_033691255.1
GCA_031538045.1
GCA_003839215.1
GCA_003836385.1
GCA_003836705.1
GCA_014596255.1
GCA_003633465.1
GCA_003631155.1
GCA_003629135.1
GCA_001709215.1
GCA_024128065.1
GCA_024128175.1
GCA_016518545.1
GCA_016647865.1
GCA_016647875.1
GCA_016658555.1
GCA_022869205.1
GCA_900618835.1
GCA_051015985.1
GCA_028747385.1
GCA_037094645.1
GCA_041319315.1
GCA_051941265.1
GCA_035974315.1
GCA_052314515.1
GCA_025791525.1
GCA_025791575.1
GCA_025792215.1
GCA_025792225.1
GCA_002980215.1
GCA_051016185.1
GCA_036636215.1
GCA_036640875.1
GCA_036644335.1
GCA_002255825.1
GCA_036981855.1
GCA_032469055.1
GCA_049804655.1
GCA_049805665.1
GCA_032469035.1
GCA_046580085.1
GCA_049806855.1
GCA_053847345.1
GCA_053847525.1
GCA_030784165.1
GCA_035783715.1
GCA_046244855.1
GCA_036668955.1
GCA_043103245.1
GCA_043106425.1
GCA_052850795.1
GCA_041983565.1
GCA_043106795.1
GCA_051352555.1
GCA_051352645.1
GCA_044930265.1
GCA_044930285.1
GCA_051347525.1
GCA_031277655.1
GCA_036323985.1
GCA_009380155.1
GCA_023074215.1
GCA_003840555.1
GCA_003838785.1
GCA_015704805.1
GCA_003630285.1
GCA_003632965.1
GCA_003632625.1
GCA_003629625.1
GCA_003630485.1
GCA_003631495.1
GCA_024126455.1
GCA_024126715.1
GCA_025447475.1
GCA_003331055.1
GCA_016648095.1
GCA_025466205.1
GCA_002300535.1
GCA_017455265.1
GCA_017941955.1
GCA_022712055.1
GCA_004124255.1
GCA_033374175.1
GCA_051016015.1
GCA_051015885.1
GCA_019212185.1
GCA_044452485.1
GCA_021556585.1
GCA_030326425.1
GCA_025791095.1
GCA_025791595.1
GCA_025792275.1
GCA_036421835.1
GCA_035824035.1
GCA_007279645.1
GCA_024655625.1
GCA_963677775.1
GCA_015234435.1
GCA_032469335.1
GCA_032469535.1
GCA_036541485.1
GCA_036541575.1
GCA_051013525.1
GCA_032469255.1
GCA_036541665.1
GCA_049804975.1
GCA_049806555.1
GCA_032469095.1
GCA_032470205.1
GCA_049804275.1
GCA_049804995.1
GCA_053847265.1
GCA_053847305.1
GCA_030784365.1
GCA_035795315.1
GCA_043105805.1
GCA_043102785.1
GCA_048822895.1
GCA_052850635.1
GCA_041983585.1
GCA_051347465.1
GCA_051349835.1
GCA_043086325.1
GCA_043081455.1
GCA_044930305.1
GCA_044930325.1
GCA_040396675.1
GCA_003836765.1
GCA_003839035.1
GCA_024127595.1
GCA_013619435.1
GCA_003629815.1
GCA_003837365.1
GCA_003630225.1
GCA_003630705.1
GCA_024126615.1
GCA_002980105.1
GCA_015351605.1
GCA_025599315.1
GCA_016625345.1
GCA_009912315.1
GCA_024128275.1
GCA_033375815.1
GCA_051015865.1
GCA_051015895.1
GCA_051125645.1
GCA_017923085.1
GCA_020882555.1
GCA_025791115.1
GCA_025791415.1
GCA_025791455.1
GCA_043428555.1
GCA_017973695.1
GCA_030328985.1
GCA_042155435.1
GCA_025791265.1
GCA_002796985.1
GCA_036643775.1
GCA_032469575.1
GCA_032469615.1
GCA_032469805.1
GCA_036541525.1
GCA_036541635.1
GCA_032469115.1
GCA_032470055.1
GCA_036541835.1
GCA_038181465.1
GCA_036981665.1
GCA_039677685.1
GCA_039679065.1
GCA_049806635.1
GCA_049807055.1
GCA_053847485.1
GCA_030784345.1
GCA_035066265.1
GCA_035787355.1
GCA_040754695.1
GCA_041359835.1
GCA_037479595.1
GCA_043104175.1
GCA_043106135.1
GCA_043106505.1
GCA_037967105.1
GCA_041983845.1
GCA_043102755.1
GCA_051347405.1
GCA_051347485.1
GCA_051349895.1
GCA_043086205.1
GCA_043081485.1
GCA_043086545.1
GCA_043084085.1
GCA_003836405.1
GCA_003836455.1
GCA_003840165.1
GCA_017592095.1
GCA_003840475.1
GCA_024127845.1
GCA_003629755.1
GCA_003629345.1
GCA_003630465.2
GCA_003631405.1
GCA_003633295.1
GCA_003629545.1
GCA_003630295.1
GCA_003631375.1
GCA_003631675.1
GCA_015626675.1
GCA_024127875.1
GCA_009914935.1
GCA_024126635.1
GCA_016658545.1
GCA_020744095.1
GCA_001749735.1
GCA_014109765.1
GCA_017976235.1
GCA_023517795.1
GCA_052907025.1
GCA_051015995.1
GCA_051020545.1
GCA_035824895.1
GCA_012102215.1
GCA_025791195.1
GCA_025791755.1
GCA_002094795.1
GCA_002814195.1
GCA_024655605.1
GCA_013403585.1
GCA_018310475.1
GCA_035621855.1
GCA_963676145.1
GCA_009911955.1
GCA_032469235.1
GCA_036324005.1
GCA_051013475.1
GCA_051013495.1
GCA_036541925.1
GCA_036541805.1
GCA_053847545.1
GCA_036668835.1
GCA_036981895.1
GCA_052112365.1
GCA_037079975.1
GCA_032621725.1
GCA_036668715.1
GCA_037479195.1
GCA_043101855.1
GCA_043106985.1
GCA_044510355.1
GCA_043105925.1
GCA_051347545.1
GCA_051347505.1
GCA_043086605.1
GCA_043084225.1
GCA_044930385.1
GCA_043084205.1
GCA_052447595.1
GCA_034105385.1
GCA_002204155.1
GCA_003840895.1
GCA_003840965.1
GCA_003836465.1
GCA_003836505.1
GCA_003630635.1
GCA_003629555.1
GCA_003632615.1
GCA_003632765.1
GCA_023806665.1
GCA_002979885.1
GCA_001269805.1
GCA_024127465.1
GCA_025465935.1
GCA_020741575.1
GCA_017941465.1
GCA_046352735.2
GCA_051016175.1
GCA_035974175.1
GCA_013778505.1
GCA_030326405.1
GCA_046580905.1
GCA_025791345.1
GCA_027214355.1
GCA_002205115.1
GCA_042157955.1
GCA_032469175.1
GCA_036541765.1
GCA_036541865.1
GCA_032469075.1
GCA_032470115.1
GCA_046580095.1
GCA_049806975.1
GCA_053005865.1
GCA_030784225.1
GCA_046365205.1
GCA_053847495.1
GCA_034440935.1
GCA_040754735.1
GCA_043103875.1
GCA_035969075.1
GCA_036324085.1
GCA_043103515.1
GCA_043103905.1
GCA_043106785.1
GCA_046359005.1
GCA_041983545.1
GCA_043102035.1
GCA_052446935.1
GCA_051351565.1
GCA_051347435.1
GCA_051355625.1
GCA_051352595.1
GCA_051347425.1
GCA_031253595.1
GCA_003838705.1
GCA_003839105.1
GCA_024127835.1
GCA_024128095.1
GCA_003840695.1
GCA_003838805.1
GCA_025040515.1
GCA_003629655.1
GCA_003632775.2
GCA_003631365.1
GCA_002029925.1
GCA_025660755.1
GCA_025397855.1
GCA_002814235.1
GCA_002156655.1
GCA_017635815.1
GCA_022712015.1
GCA_024127915.1
GCA_001446975.1
GCA_002255865.1
GCA_019116555.1
GCA_902329575.1
GCA_014836765.1
GCA_963678005.1
GCA_033375015.1
GCA_051015935.1
GCA_051015965.1
GCA_014930935.1
GCA_051015875.1
GCA_051015955.1
GCA_000412715.2
GCA_052906925.1
GCA_029201605.1
GCA_030016165.2
GCA_036324525.1
GCA_050916005.1
GCA_029201585.1
GCA_003839165.1
GCA_003841055.1
GCA_025791125.1
GCA_002094785.1
GCA_047528695.1
GCA_041079345.1
GCA_002975295.1
GCA_002979985.1
GCA_003590475.1
GCA_042156695.1
GCA_042158565.1
GCA_025791695.1
GCA_053234445.1
GCA_036637455.1
GCA_036667555.1
GCA_030326375.1
GCA_030503445.1
GCA_036324045.1
GCA_036541475.1
GCA_036981655.1
GCA_036981875.1
GCA_032469395.1
GCA_032469415.1
GCA_049806775.1
GCA_049807015.1
GCA_049807595.1
GCA_030784255.1
GCA_035066245.1
GCA_043103725.1
GCA_037079955.1
GCA_040931495.1
GCA_053345155.1
GCA_036669055.1
GCA_043103305.1
GCA_043105855.1
GCA_043106815.1
GCA_043103045.1
GCA_051350635.1
GCA_051349855.1
GCA_043086785.1
GCA_045902355.1
GCA_040396295.1
GCA_003839585.1
GCA_024126485.1
GCA_003629995.1
GCA_003631505.1
GCA_024126385.1
GCA_002351435.1
GCA_003629035.1
GCA_003629055.1
GCA_003630045.1
GCA_024127895.1
GCA_001269815.1
GCA_017316265.1
GCA_020741415.1
GCA_003850345.1
GCA_051015905.1
GCA_052907105.1
GCA_001518975.1
GCA_051015945.1
GCA_001518815.1
GCA_013378035.1
GCA_028994055.1
GCA_052907125.1
GCA_037126175.1
GCA_035974255.1
GCA_012102225.1
GCA_025791105.1
GCA_025791735.1
GCA_053234305.1
GCA_021106615.1
GCA_002980155.1
GCA_009912135.1
GCA_032469695.1
GCA_032470095.1
GCA_036541735.1
GCA_036541745.1
GCA_032470135.1
GCA_049807475.1
GCA_032469015.1
GCA_032469635.1
GCA_049804795.1
GCA_032469495.1
GCA_046580065.1
GCA_049806895.1
GCA_049807095.1
GCA_040750435.1
GCA_044540795.1
GCA_037967095.1
GCA_043103895.1
GCA_046359085.1
GCA_052920985.1
GCA_043102065.1
GCA_043102825.1
GCA_043103315.1
GCA_045490505.1
GCA_046561455.1
GCA_044930365.1
GCA_043086385.1
GCA_029772425.1
GCA_003131185.1
GCA_014235765.1
GCA_014694385.1
GCA_023074255.1
GCA_003838825.1
GCA_007896855.1
GCA_003630235.1
GCA_003837435.1
GCA_003630365.1
GCA_014596275.1
GCA_003628935.1
GCA_015626695.1
GCA_015626645.1
GCA_003632755.1
GCA_003633025.1
GCA_001446915.1
GCA_009911885.1
GCA_051125635.1
GCA_046268055.1
GCA_002966835.1
GCA_007293365.2
GCA_009827115.1
GCA_025133575.1
GCA_040438925.1
GCA_004803755.1
GCA_002094805.1
GCA_025792185.1
GCA_043642245.1
GCA_003671895.1
GCA_032621715.1
GCA_048276435.1
GCA_042154235.1
GCA_009912515.1
GCA_014333415.1
GCA_025599415.1
GCA_036635755.1
GCA_036657895.1
GCA_032469275.1
GCA_036541565.1
GCA_036541845.1
GCA_049786955.1
GCA_036541935.1
GCA_036542025.1
GCA_049804515.1
GCA_049805255.1
GCA_036541675.1
GCA_049804415.1
GCA_043105035.1
GCA_043106155.1
GCA_048068075.1
GCA_053345295.1
GCA_051356195.1
GCA_044957805.1
GCA_043086305.1
GCA_043086405.1
GCA_045900535.1
GCA_043102075.1
GCA_003836985.1
GCA_003836575.1
GCA_003839755.1
GCA_024127525.1
GCA_003629675.1
GCA_003629045.1
GCA_003629695.1
GCA_003630455.1
GCA_003629605.1
GCA_003630095.1
GCA_001269495.1
GCA_017960345.1
GCA_017960365.1
GCA_024128135.1
GCA_002307455.1
GCA_024126555.1
GCA_016648105.1
GCA_025466015.1
GCA_021661955.1
GCA_021602035.1
GCA_002256045.1
GCA_016881005.1
GCA_051125625.1
GCA_017923275.1
GCA_051015925.1
GCA_021556555.1
GCA_021556565.1
GCA_025791645.1
GCA_025791435.1
GCA_025791555.1
GCA_020149425.1
GCA_049166845.1
GCA_048593205.1
GCA_050507335.1
GCA_015234375.1
GCA_036649495.1
GCA_036653295.1
GCA_032469215.1
GCA_032469515.1
GCA_036541535.1
GCA_032469455.1
GCA_032469795.1
GCA_049804935.1
GCA_053847565.1
GCA_050188355.1
GCA_036324125.1
GCA_043104195.1
GCA_049887895.1
GCA_052850675.1
GCA_043102025.1
GCA_043102455.1
GCA_043081345.1
GCA_043086575.1
GCA_043081445.1
GCA_051347385.1
GCA_029772445.1
GCA_036324145.1
GCA_040391765.1
GCA_040395815.1
GCA_025370235.1
GCA_003840685.1
GCA_003838665.1
GCA_003837485.1
GCA_003836545.1
GCA_003631355.1
GCA_022678455.1
GCA_003629445.1
GCA_003630505.1
GCA_024127415.1
GCA_001269595.1
GCA_026788025.1
GCA_026241895.1
GCA_024126735.1
GCA_025465995.1
GCA_025466085.1
GCA_022712155.1
GCA_015461805.1
GCA_051016025.1
GCA_019084125.3
GCA_051125905.1
GCA_017923175.1
GCA_026967615.1
GCA_047758505.1
GCA_021556505.1
GCA_012102115.1
GCA_025791315.1
GCA_025791495.1
GCA_025791635.1
GCA_002094775.1
GCA_002980135.1
GCA_003852405.1
GCA_025791325.1
GCA_025791715.1
GCA_036655035.1
GCA_032469345.1
GCA_032469595.1
GCA_036541625.1
GCA_036541685.1
GCA_032469735.1
GCA_036981675.1
GCA_049804735.1
GCA_049804555.1
GCA_049806935.1
GCA_049807695.1
GCA_049806795.1
GCA_049807035.1
GCA_030784235.1
GCA_043103255.1
GCA_037080015.1
GCA_032621675.1
GCA_033783325.1
GCA_043106615.1
GCA_052850735.1
GCA_041983755.1
GCA_041983775.1
GCA_043102265.1
GCA_043084045.1
GCA_033691315.1
GCA_043086625.1
GCA_051355655.1
GCA_051347555.1
GCA_043081605.1
GCA_001269555.1
GCA_003839025.1
GCA_003840145.1
GCA_024126655.1
GCA_003840205.1
GCA_003840655.1
GCA_003840225.1
GCA_003321505.1
GCA_015626655.1
GCA_003628975.1
GCA_024128145.1
GCA_025466065.1
GCA_024126565.1
GCA_025660735.1
GCA_024128315.1
GCA_900618535.1
GCA_902329585.1
GCA_000263855.1
GCA_025466135.1
GCA_016624805.1
GCA_017418485.1
GCA_017625305.1
GCA_009497675.1
GCA_051016035.1
GCA_035658315.1
GCA_012102135.1
GCA_025791395.1
GCA_025791675.1
GCA_025792295.1
GCA_003671865.1
GCA_017973755.1
GCA_049166835.1
GCA_002979555.1
GCA_042156045.1
GCA_036634405.1
GCA_036662455.1
GCA_036667295.1
GCA_032469155.1
GCA_032469435.1
GCA_032470075.1
GCA_049806695.1
GCA_049805235.1
GCA_049807675.1
GCA_032469375.1
GCA_049804635.1
GCA_049806135.1
GCA_034440815.1
GCA_034441015.1
GCA_043102245.1
GCA_043103635.1
GCA_043106805.1
GCA_043102425.1
GCA_043102475.1
GCA_031026205.1
GCA_051347255.1
GCA_045898835.1
GCA_034105355.1
GCA_036323905.1
GCA_040395715.1
GCA_051658565.1
GCA_017592315.1
GCA_003840215.1
GCA_003633125.1
GCA_003629085.1
GCA_003629485.1
GCA_025397875.1
GCA_014694355.1
GCA_016624455.1
GCA_025466075.1
GCA_025466155.1
GCA_017935815.1
GCA_001446945.1
GCA_003391255.1
GCA_039555165.1
GCA_038396855.1
GCA_051015855.1
GCA_051016005.1
GCA_050887005.1
GCA_022537035.1
GCA_036352095.1
GCA_041501535.1
GCA_051125655.1
GCA_021556635.1
GCA_025791145.1
GCA_025791215.1
GCA_046370445.1
GCA_002979955.1
GCA_002980075.1
GCA_002256055.1
GCA_030326365.1
GCA_036541585.1
GCA_036541725.1
GCA_036981705.1
GCA_032469135.1
GCA_049804615.1
GCA_049805635.1
GCA_032469475.1
GCA_032469655.1
GCA_032470035.1
GCA_035785215.1
GCA_049804495.1
GCA_049806755.1
GCA_049806295.1
GCA_036323865.1
GCA_049804595.1
GCA_049805015.1
GCA_030784425.1
GCA_036324165.1
